source,source_product_id,name,image_url,regular_price,sale_price,stock_quantity,source_order
biznecubano,107269,Cojín decorativo,https://biznecubano.com/images/small/tenants/1410/products/107269/Pwe-product-cover.jpeg,,,,47
biznecubano,107282,Vasos de vidrio (altos),https://biznecubano.com/images/small/tenants/1410/products/107282/d0c-product-cover.jpeg,7,,2,48
biznecubano,107283,Vasos de vidrio (medianos),https://biznecubano.com/images/small/tenants/1410/products/107283/cI9-product-cover.jpeg,7,,3,49
biznecubano,107285,Maceta con suculenta,https://biznecubano.com/images/small/tenants/1410/products/107285/NlU-product-cover.jpeg,,,,50
biznecubano,107288,Set para baño completo (15 piezas),https://biznecubano.com/images/small/tenants/1410/products/107288/pc0-product-cover.jpeg,,,,51
biznecubano,107314,Cojín decorativo,https://biznecubano.com/images/small/tenants/1410/products/107314/Ze9-product-cover.jpeg,,,,52
biznecubano,107353,Cesta tipo mimbre redonda,https://biznecubano.com/images/small/tenants/1410/products/107353/lMo-product-cover.jpeg,10,,1,53
biznecubano,107355,Cesta tipo mimbre rectangular,https://biznecubano.com/images/small/tenants/1410/products/107355/ocy-product-cover.jpeg,10,,1,54
biznecubano,107505,Colchón 180x200cm Dawang + 2 almohadas hoteleras,https://biznecubano.com/images/small/tenants/1410/products/107505/PyL-product-cover.jpeg,340,,1,55
biznecubano,108063,Shampo + Acondicionador Oggy de Romero,https://biznecubano.com/images/small/tenants/1410/products/108063/hFF-product-cover.jpeg,7,,1,56
biznecubano,108754,Colchón - EDSM A - 3/4,https://biznecubano.com/images/small/tenants/1410/products/108754/Dff-product-cover.jpeg,275,,,57
biznecubano,108755,Colchón - EDSM A - Camero,https://biznecubano.com/images/small/tenants/1410/products/108755/jkj-product-cover.jpeg,290,,,58
biznecubano,108756,Colchón - EDSM A - Queen,https://biznecubano.com/images/small/tenants/1410/products/108756/1bR-product-cover.jpeg,310,,,59
biznecubano,108757,Colchón - EDSM A - King,https://biznecubano.com/images/small/tenants/1410/products/108757/pnc-product-cover.jpeg,340,,,60
biznecubano,108758,Colchón 3/4 + Almohada - EDSM A,https://biznecubano.com/images/small/tenants/1410/products/108758/kCV-product-cover.jpeg,290,,,61
biznecubano,108759,Colchón Camero + Almohada - EDSM A,https://biznecubano.com/images/small/tenants/1410/products/108759/sBB-product-cover.jpeg,310,,,62
biznecubano,108760,Colchón Queen + Almohada - EDSM A,https://biznecubano.com/images/small/tenants/1410/products/108760/C1K-product-cover.jpeg,330,,,63
biznecubano,108761,Colchón King + Almohada - EDSM A,https://biznecubano.com/images/small/tenants/1410/products/108761/Q2u-product-cover.jpeg,365,,,64
biznecubano,108824,Set de Jarra con Vasos,https://biznecubano.com/images/small/tenants/1410/products/108824/tOp-product-cover.jpeg,14,,1,65
biznecubano,108854,Alfombra decorativa 80x120cm,https://biznecubano.com/images/small/tenants/1410/products/108854/CXR-product-cover.jpeg,25,,2,66
biznecubano,108913,Mesita infantil,https://biznecubano.com/images/small/tenants/1410/products/108913/JUO-product-cover.jpeg,,,,67
biznecubano,109261,Limpiador facial blanqueador con vitamina C,https://biznecubano.com/images/small/tenants/1410/products/109261/ulO-product-cover.jpeg,8,,3,68
biznecubano,109793,Protector de colchón Queen,https://biznecubano.com/images/small/tenants/1410/products/109793/iPQ-product-cover.jpeg,36,,2,69
biznecubano,109794,Protector de colchón Personal,https://biznecubano.com/images/small/tenants/1410/products/109794/sc4-product-cover.jpeg,23,,4,70
biznecubano,109862,Alfombra Circular Decorativa – 180 cm,https://biznecubano.com/images/small/tenants/1410/products/109862/RlU-product-cover.jpeg,60,,1,71
biznecubano,109864,Alfombra Circular Decorativa – 180 cm,https://biznecubano.com/images/small/tenants/1410/products/109864/DvG-product-cover.jpeg,60,,1,72
biznecubano,109865,Alfombra Circular Decorativa – 180 cm,https://biznecubano.com/images/small/tenants/1410/products/109865/Gh3-product-cover.jpeg,60,,1,73
biznecubano,109866,Alfombra Circular Decorativa – 180 cm,https://biznecubano.com/images/small/tenants/1410/products/109866/oMc-product-cover.jpeg,60,,1,74
biznecubano,109868,Alfombra Decorativa Moderna – 180 x 200 cm,https://biznecubano.com/images/small/tenants/1410/products/109868/PCS-product-cover.jpeg,70,,1,75
biznecubano,109870,Cortina de baño,https://biznecubano.com/images/small/tenants/1410/products/109870/Jwb-product-cover.jpeg,,,,76
biznecubano,109873,Cortina blackout moderna (2 paneles),https://biznecubano.com/images/small/tenants/1410/products/109873/3mg-product-cover.jpeg,36,,2,77
biznecubano,109876,Set de alfombras para baño (3 piezas),https://biznecubano.com/images/small/tenants/1410/products/109876/0Vf-product-cover.jpeg,,,,78
biznecubano,109878,Tazas con platillos,https://biznecubano.com/images/small/tenants/1410/products/109878/y8R-product-cover.jpeg,14,,1,79
biznecubano,109879,Tazas con platillos,https://biznecubano.com/images/small/tenants/1410/products/109879/34c-product-cover.jpeg,14,,1,80
biznecubano,109880,Edredón + Juego de Sábanas Queen,https://biznecubano.com/images/small/tenants/1410/products/109880/b0y-product-cover.jpeg,,,,81
biznecubano,110866,Jarra de cristal 1.3 Litros,https://biznecubano.com/images/small/tenants/1410/products/110866/317-product-cover.jpeg,10,,4,82
biznecubano,110869,Colador metálico de cocina (set 3 piezas),https://biznecubano.com/images/small/tenants/1410/products/110869/Pub-product-cover.jpeg,5,,4,83
biznecubano,110871,Toalla de Baño Majestic Imperial Gris Clara,https://biznecubano.com/images/small/tenants/1410/products/110871/QCg-product-cover.jpeg,18,,2,84
biznecubano,111551,Set de 5 pozuelos cuadrados (Rojo),https://biznecubano.com/images/small/tenants/1410/products/111551/MeQ-product-cover.jpeg,10,,1,85
biznecubano,111553,Protector de Colchón Acolchado FULL,https://biznecubano.com/images/small/tenants/1410/products/111553/D2o-product-cover.jpeg,34,,3,86
biznecubano,111554,Cortinero decorativo,https://biznecubano.com/images/small/tenants/1410/products/111554/Llu-product-cover.jpeg,,,,87
biznecubano,111555,Cortinero decorativo,https://biznecubano.com/images/small/tenants/1410/products/111555/Rel-product-cover.jpeg,,,,88
biznecubano,111556,Cortinero decorativo,https://biznecubano.com/images/small/tenants/1410/products/111556/FRy-product-cover.jpeg,,,,89
biznecubano,111682,Cesto de 12L,https://biznecubano.com/images/small/tenants/1410/products/111682/kKK-product-cover.jpeg,7,,12,90
biznecubano,111683,Cesto de 12L,https://biznecubano.com/images/small/tenants/1410/products/111683/iR0-product-cover.jpeg,7,,6,91
biznecubano,111684,Cesto de 12L,https://biznecubano.com/images/small/tenants/1410/products/111684/Q4g-product-cover.jpeg,7,,12,92
biznecubano,112434,Licuadora MLD 999,https://biznecubano.com/images/small/tenants/1410/products/112434/SAF-product-cover.jpeg,35,,1,93
biznecubano,112435,Licuadora ML 602,https://biznecubano.com/images/small/tenants/1410/products/112435/1j4-product-cover.jpeg,45,,1,94
biznecubano,112438,Azulejo INCEFRA,https://biznecubano.com/images/small/tenants/1410/products/112438/3QY-product-cover.jpeg,35,,,95
biznecubano,112525,Sartén 16 cm,https://biznecubano.com/images/small/tenants/1410/products/112525/0jw-product-cover.jpeg,14,,2,96
biznecubano,112531,Espumadera,https://biznecubano.com/images/small/tenants/1410/products/112531/m5w-product-cover.jpeg,6,,4,97
biznecubano,112532,Cortina decorativa Vienna,https://biznecubano.com/images/small/tenants/1410/products/112532/IEW-product-cover.jpeg,24,,1,98
biznecubano,112533,Juego de ollas,https://biznecubano.com/images/small/tenants/1410/products/112533/WCp-product-cover.jpeg,50,,2,99
biznecubano,112572,Grifo para fregadero doble cuello de cisne GP 1322,https://biznecubano.com/images/small/tenants/1410/products/112572/7YI-product-cover.jpeg,15,,2,100
biznecubano,112637,Grifo para fregadero doble GP 1311,https://biznecubano.com/images/small/tenants/1410/products/112637/rpo-product-cover.jpeg,14,,2,101
biznecubano,112639,Grifo fregadero doble cuello flexible GP 1220,https://biznecubano.com/images/small/tenants/1410/products/112639/Tk9-product-cover.jpeg,15,,2,102
biznecubano,112704,Grifo fregadero doble cuello cisne negro GP 1013,https://biznecubano.com/images/small/tenants/1410/products/112704/Eal-product-cover.jpeg,18,,2,103
biznecubano,112707,Cerradura de pomo en blíster MP 001,https://biznecubano.com/images/small/tenants/1410/products/112707/Dtx-product-cover.jpeg,7,,6,104
biznecubano,112710,"Válvula de paso mini HH 1/2 "" GPLP83 (hembra)",https://biznecubano.com/images/small/tenants/1410/products/112710/3DC-product-cover.jpeg,4,,4,105
biznecubano,112711,"Válvula de paso miniHH 1/2"" GPLP83 (hembra-macho))",https://biznecubano.com/images/small/tenants/1410/products/112711/Zos-product-cover.jpeg,4,,1,106
biznecubano,112712,"Válvula para jardin 1/2 "" GPLC012",https://biznecubano.com/images/small/tenants/1410/products/112712/NGb-product-cover.jpeg,4,,7,107
biznecubano,113205,Protector Solar SPF 30,https://biznecubano.com/images/small/tenants/1410/products/113205/04x-product-cover.jpeg,8,,3,108
biznecubano,113689,Bocina parlante,https://biznecubano.com/images/small/tenants/1410/products/113689/Arf-product-cover.jpeg,170,,1,109
biznecubano,113690,Cocina de Gas 2 quemadores,https://biznecubano.com/images/small/tenants/1410/products/113690/YbK-product-cover.jpeg,35,,2,110
biznecubano,113934,Toallas Cisne Blanco 40x70,https://biznecubano.com/images/small/tenants/1410/products/113934/Jsv-product-cover.jpeg,,,,111
biznecubano,114040,Silla de playa DX,https://biznecubano.com/images/small/tenants/1410/products/114040/Bk7-product-cover.jpeg,35,,2,112
biznecubano,114041,Carretón negro,https://biznecubano.com/images/small/tenants/1410/products/114041/KxH-product-cover.jpeg,80,,1,113
biznecubano,114042,Mesita de cafe sencilla,https://biznecubano.com/images/small/tenants/1410/products/114042/I7Z-product-cover.jpeg,30,,6,114
biznecubano,114274,Escritorio de 1 gavetas,https://biznecubano.com/images/small/tenants/1410/products/114274/jAJ-product-cover.jpeg,140,,0,115
biznecubano,114275,Tabla de planchar,https://biznecubano.com/images/small/tenants/1410/products/114275/Qpj-product-cover.jpeg,45,,0,116
biznecubano,114278,Tabla de planchar,https://biznecubano.com/images/small/tenants/1410/products/114278/Ugl-product-cover.jpeg,45,,1,117
biznecubano,114280,Base para electrodomésticos,https://biznecubano.com/images/small/tenants/1410/products/114280/er8-product-cover.jpeg,23,,8,118
biznecubano,114281,Cesta con tapa rosada,https://biznecubano.com/images/small/tenants/1410/products/114281/zRr-product-cover.jpeg,12,,1,119
biznecubano,114285,Carrito metálico negro 4 Niveles,https://biznecubano.com/images/small/tenants/1410/products/114285/MUZ-product-cover.jpeg,35,,2,120
biznecubano,114292,Carrito metálico plegable blanco 3 Niveles,https://biznecubano.com/images/small/tenants/1410/products/114292/SvP-product-cover.jpeg,35,,1,121
biznecubano,115478,Juego de sábanas full (camera),https://biznecubano.com/images/small/tenants/1410/products/115478/iVj-product-cover.jpeg,23,,0,122
biznecubano,115479,Soporte TV 14”-42”,https://biznecubano.com/images/small/tenants/1410/products/115479/Ko2-product-cover.jpeg,12,,2,123
biznecubano,115480,Soporte TV 14”-55”,https://biznecubano.com/images/small/tenants/1410/products/115480/W6t-product-cover.jpeg,20,,9,124
biznecubano,115751,Toalla Cisne Blanco 70x140 cm (gris),https://biznecubano.com/images/small/tenants/1410/products/115751/pGq-product-cover.jpeg,18,,11,125
biznecubano,115752,Toalla Cisne Blanco 70x140 cm (beige),https://biznecubano.com/images/small/tenants/1410/products/115752/nyt-product-cover.jpeg,18,,4,126
biznecubano,115753,Toalla 100% algodón 70x130 cm,https://biznecubano.com/images/small/tenants/1410/products/115753/3h4-product-cover.jpeg,18,,5,127
biznecubano,116018,Corral cuna de bebé,https://biznecubano.com/images/small/tenants/1410/products/116018/Di1-product-cover.jpeg,170,,1,128
biznecubano,116019,Corral cuna de bebé,https://biznecubano.com/images/small/tenants/1410/products/116019/abQ-product-cover.jpeg,170,,1,129
biznecubano,116315,Aceite capilar de batana HOEGOA,https://biznecubano.com/images/small/tenants/1410/products/116315/0Rc-product-cover.jpeg,13,,2,130
biznecubano,116316,Balsamo facial de miel hidratante,https://biznecubano.com/images/small/tenants/1410/products/116316/JEt-product-cover.jpeg,9,,2,131
biznecubano,116317,Aceite de oliva antiestrias,https://biznecubano.com/images/small/tenants/1410/products/116317/bfq-product-cover.jpeg,13,,2,132
biznecubano,116318,Crema correctora para el cabello Luminoliss,https://biznecubano.com/images/small/tenants/1410/products/116318/JZ0-product-cover.jpeg,8,,5,133
biznecubano,116319,Crema blanqueadora de zonas sensibles,https://biznecubano.com/images/small/tenants/1410/products/116319/Oml-product-cover.jpeg,10,,2,134
