Type,SKU,Name,Published,Is featured?,Visibility in catalog,Regular price,Sale price,Manage stock?,Stock,In stock?,Images,Meta: _cvd_source,Meta: _cvd_source_product_id
simple,CV-BIZ-104720,Utensilios de silicona con cuchillos,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/104720/mky-product-cover.jpeg,biznecubano,104720
simple,CV-BIZ-105154,Colchón de resorte 180x200cm Dawang,1,0,visible,320,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/105154/AoQ-product-cover.jpeg,biznecubano,105154
simple,CV-BIZ-105164,Exprimidor simple,1,0,visible,4,,1,3,1,https://biznecubano.com/images/small/tenants/1410/products/105164/rGx-product-cover.jpeg,biznecubano,105164
simple,CV-BIZ-105173,Ramo de girasoles,1,0,visible,8,,1,5,1,https://biznecubano.com/images/small/tenants/1410/products/105173/B2X-product-cover.jpeg,biznecubano,105173
simple,CV-BIZ-105178,Alfombra suave Rombo 50 x 80,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/105178/6md-product-cover.jpeg,biznecubano,105178
simple,CV-BIZ-105181,Rallador,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/105181/KSN-product-cover.jpeg,biznecubano,105181
simple,CV-BIZ-105235,Helecho hoja fina,1,0,visible,8,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/105235/fby-product-cover.jpeg,biznecubano,105235
simple,CV-BIZ-107259,Bucaro blanco,1,0,visible,17,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/107259/nX8-product-cover.jpeg,biznecubano,107259
simple,CV-BIZ-107264,Termo térmico 1L,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/107264/Dwd-product-cover.jpeg,biznecubano,107264
simple,CV-BIZ-107265,Forro para 6 sillas + mesa rectangular,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/107265/Gco-product-cover.jpeg,biznecubano,107265
simple,CV-BIZ-107266,Mantel cuadrado,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/107266/9IK-product-cover.jpeg,biznecubano,107266
simple,CV-BIZ-107267,Mantel circular,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/107267/BwG-product-cover.jpeg,biznecubano,107267
simple,CV-BIZ-107268,Cojin decorativo,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/107268/zW3-product-cover.jpeg,biznecubano,107268
simple,CV-BIZ-107269,Cojín decorativo,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/107269/Pwe-product-cover.jpeg,biznecubano,107269
simple,CV-BIZ-107282,Vasos de vidrio (altos),1,0,visible,7,,1,2,1,https://biznecubano.com/images/small/tenants/1410/products/107282/d0c-product-cover.jpeg,biznecubano,107282
simple,CV-BIZ-107283,Vasos de vidrio (medianos),1,0,visible,7,,1,3,1,https://biznecubano.com/images/small/tenants/1410/products/107283/cI9-product-cover.jpeg,biznecubano,107283
simple,CV-BIZ-107285,Maceta con suculenta,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/107285/NlU-product-cover.jpeg,biznecubano,107285
simple,CV-BIZ-107288,Set para baño completo (15 piezas),1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/107288/pc0-product-cover.jpeg,biznecubano,107288
simple,CV-BIZ-107314,Cojín decorativo,1,0,visible,,,0,,1,https://biznecubano.com/images/small/tenants/1410/products/107314/Ze9-product-cover.jpeg,biznecubano,107314
simple,CV-BIZ-107353,Cesta tipo mimbre redonda,1,0,visible,10,,1,1,1,https://biznecubano.com/images/small/tenants/1410/products/107353/lMo-product-cover.jpeg,biznecubano,107353
